,Season,Difference,away,home,score,week,winner,homeATT,homeMID,homeDEF,homeOVR,awayATT,awayMID,awayDEF,awayOVR,homeworth,homeage,awayworth,awayage,homesupport,awaysupport
42,2016.0,1.0,KASIMPAŞA A.Ş.,BURSASPOR,1 - 0,5.0,home,70.0,72.0,71.0,72.0,69.0,71.0,71.0,70.0,48.98,24.4,39.5,23.4,16106.0,1416.0
43,2016.0,2.0,KARDEMIR KARABÜKSPOR,GENÇLERBIRLIĞI,2 - 0,5.0,home,69.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,36.78,24.1,36.08,25.8,2625.0,4422.0
44,2016.0,1.0,AYTEMIZ ALANYASPOR,ADANASPOR A.Ş.,3 - 2,5.0,home,71.0,67.0,69.0,69.0,73.0,70.0,71.0,70.0,19.98,23.7,38.68,25.5,4594.0,4541.0
45,2016.0,0.0,GENÇLERBIRLIĞI,AKHISAR BELEDIYE GENÇLIK VE SPOR,0 - 0,6.0,Draw,70.0,71.0,71.0,70.0,69.0,70.0,70.0,70.0,50.2,26.7,36.78,24.1,2501.0,2625.0
46,2016.0,1.0,BURSASPOR,GAZIANTEPSPOR,3 - 2,6.0,home,71.0,69.0,68.0,70.0,70.0,72.0,71.0,72.0,40.55,24.6,48.98,24.4,4236.0,16106.0
47,2016.0,4.0,TRABZONSPOR A.Ş.,KARDEMIR KARABÜKSPOR,4 - 0,6.0,home,71.0,70.0,70.0,70.0,73.0,74.0,76.0,74.0,36.08,25.8,95.95,23.8,4422.0,17252.0
48,2016.0,-1.0,BEŞIKTAŞ A.Ş.,ÇAYKUR RIZESPOR A.Ş.,0 - 1,6.0,away,76.0,68.0,68.0,69.0,78.0,78.0,76.0,78.0,34.68,22.6,177.4,25.3,3369.0,30448.0
49,2016.0,2.0,KAYSERISPOR,KASIMPAŞA A.Ş.,3 - 1,6.0,home,69.0,71.0,71.0,70.0,73.0,72.0,70.0,71.0,39.5,23.4,45.85,25.0,1416.0,5524.0
50,2016.0,2.0,ANTALYASPOR A.Ş.,GALATASARAY A.Ş.,3 - 1,6.0,home,76.0,77.0,74.0,76.0,81.0,71.0,72.0,71.0,129.35,25.1,41.8,25.4,21351.0,12645.0
51,2016.0,0.0,FENERBAHÇE A.Ş.,OSMANLISPOR FUTBOL KULÜBÜ,1 - 1,6.0,Draw,74.0,74.0,72.0,73.0,80.0,77.0,78.0,77.0,56.7,25.1,168.68,24.8,3792.0,16485.0
